"BMW 5 серия GT, 2010",1 300 000  ₽,"105 000 км, 4.4 AT (407 л.с.), хетчбэк, полный, бензин",https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_gt_2010_1288050214
"Mercedes-Benz M-класс, 2008",790 000  ₽,"168 000 км, 3.5 AT (272 л.с.), универсал, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_m-klass_2008_1704134602
"Skoda Rapid, 2015",470 000  ₽,"80 000 км, 1.2 MT (75 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/skoda_rapid_2015_1425599776
"ВАЗ 2105, 2000",58 000  ₽,"99 665 км, 1.5 MT (71 л.с.), седан, задний, бензин",https://www.avito.ru/tver/avtomobili/vaz_2105_2000_1031554844
"Chevrolet Niva, 2015",424 000  ₽,"38 000 км, 1.7 MT (80 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/chevrolet_niva_2015_1433503172
"BMW 5 серия, 2003",450 000  ₽,"194 000 км, 2.5 AT (192 л.с.), седан, задний, бензин",https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2003_1240209665
"ГАЗ ГАЗель Next, 2014",550 000  ₽,"140 000 км, 2.8 MT (120 л.с.), фургон, задний, дизель",https://www.avito.ru/moskovskaya_oblast_krasnogorsk/avtomobili/gaz_gazel_next_2014_1562489098
"LADA Vesta, 2018 
новый",637 900  ₽,"1.6 MT (106 л.с.), седан, передний, бензин",https://www.avito.ru/vladimir/avtomobili/lada_vesta_2018_1351557311
"Hyundai Equus, 2013",775 000  ₽,"155 000 км, 3.8 AT (334 л.с.), седан, задний, бензин",https://www.avito.ru/tver/avtomobili/hyundai_equus_2013_1004834722
"Ford Mondeo, 2011",600 000  ₽,"130 000 км, 2.3 AT (161 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_mondeo_2011_1118427329
"KIA Rio, 2010",277 000  ₽,"68 904 км, 1.4 MT (95 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_rio_2010_1383012907
"Mercedes-Benz E-класс, 2011",980 000  ₽,"140 000 км, 1.8 AT (184 л.с.), седан, задний, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_e-klass_2011_1720496453
